Title,Link,Runtime (minutes),Genres,Years,Src,About
Bagpuss,https://www.imdb.com/title/tt0070970/,15,"Animation, Comedy, Family",1974,"https://m.media-amazon.com/images/M/MV5BOGVlYWUyZmQtY2RmNy00ZmY1LThhNmQtNDY2NjVmY2IwYjdiXkEyXkFqcGdeQXVyMTUyNjc3NDQ4._V1_UX140_CR0,0,140,209_AL_.jpg","Bagpuss and his friends are toys in a turn of the century shop for 'found things'. When young Emily brings them a new object, the toys come to life to work out what the strange new thing could possibly be. "
The Clangers,https://www.imdb.com/title/tt0065282/,10,"Animation, Family, Sci-Fi",1969-1974,"https://m.media-amazon.com/images/M/MV5BODU4NTY5NTY1OV5BMl5BanBnXkFtZTcwNTQ1OTkxMQ@@._V1_UY209_CR3,0,140,209_AL_.jpg","The series chronicled the melancholically funny lives of the Clangers, a flutey-voiced family of woolen, knitted aliens living below the surface of a knobbly little planet far out in space.... See full summary » "
Ivor the Engine,https://www.imdb.com/title/tt0072518/,5,"Animation, Family",1976-1977,"https://m.media-amazon.com/images/M/MV5BNGUwMjJiMjYtZDRlNy00ZDU1LTkxODAtOWFhMDgxZjRiZDFkXkEyXkFqcGdeQXVyMDY4MzkyNw@@._V1_UY209_CR3,0,140,209_AL_.jpg","In the 'top, left hand corner of Wales' runs an archaic railway line staffed by such characters as Jones the Steam and Dai Station. Their pride is Ivor, the steam engine with a will of his ... See full summary » "
Noggin the Nog,https://www.imdb.com/title/tt0198192/,10,"Animation, Family",1979-1980,"https://m.media-amazon.com/images/M/MV5BNTc4NGJjN2MtYTI0ZC00NjBmLWE1ZGMtNWQ4Y2I3NzNlNmIxXkEyXkFqcGdeQXVyNDUxNjc5NjY@._V1_UY209_CR10,0,140,209_AL_.jpg","""In the Lands of the North, where the black rocks stand guard against the cold sea, in the dark night that is very long, the men of the North Lands sit by their great log fires, and they tell a tale..."" "
Willo the Wisp,https://www.imdb.com/title/tt0121044/,5,"Animation, Family",1981,"https://m.media-amazon.com/images/M/MV5BMTk5MDU1ODczM15BMl5BanBnXkFtZTcwMDMwMjIyMQ@@._V1_UY209_CR4,0,140,209_AL_.jpg","A series of 5 minute cartoons about a group of inhabitants of a forest. Willo the Wisp is a sprite formed from gas who narrates each story. Other characters included Evil Edna (a witch ... See full summary »"""
Bod,https://www.imdb.com/title/tt0367295/,15,,1975,"https://m.media-amazon.com/images/M/MV5BMTk2Nzc1NDMzNV5BMl5BanBnXkFtZTcwODAwNjkxMQ@@._V1_UY209_CR7,0,140,209_AL_.jpg","The adventures of a little boy called Bod, who lives in a town with his friends Aunt Flo, P.C. Copper, Frank the Postman and Farmer Barleymow. Each episode also featured Alberto Frog and his Amazing Animal Band. "
The Amazing Adventures of Morph,https://www.imdb.com/title/tt0435939/,5,"Animation, Family",1980-1981,"https://m.media-amazon.com/images/M/MV5BMmRhYTQ1NmMtMGY0ZS00MTA1LThhMjEtMzYwNjkxYjdjOTNmXkEyXkFqcGdeQXVyNzMwOTY2NTI@._V1_UY209_CR1,0,140,209_AL_.jpg","The Gobbledygook spouting, shape-shifting little Plasticine man who first appeared in the 1977 arty TV show ""Take Hart"" gets his own series. Morph, his pet nailbrush and naughty ""twin"" Chas have all sorts of adventures. "
The Wind in the Willows,https://www.imdb.com/title/tt0086829/,22,"Animation, Adventure, Family",1984-1988,"https://m.media-amazon.com/images/M/MV5BMjAwMDUzNzg3M15BMl5BanBnXkFtZTcwMDA4NDAzMQ@@._V1_UY209_CR4,0,140,209_AL_.jpg","Based on the characters created by Kenneth Grahame, this award winning animated series follows the adventures of Mole (Richard Pearson) as he leaves home to discover the world. Mole finds ... See full summary » "
Animal Magic,https://www.imdb.com/title/tt0201375/,30,Family,1962-1984,"https://m.media-amazon.com/images/M/MV5BZjVmYzcyNTQtNGVhOS00NDVlLTk1ZmItM2Q0Njc0NjI2ODQyXkEyXkFqcGdeQXVyMDIzNDc0MA@@._V1_UY209_CR120,0,140,209_AL_.jpg",Children's series looking at the world of animals. 
Heads and Tails,https://www.imdb.com/title/tt6232038/,15,"Musical, Family",1977-1979,"https://m.media-amazon.com/images/M/MV5BMjYxMmI0N2ItMzdiYy00ZTIzLWE5NDQtM2M3OTQzNjVlMjZkL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNTgwNTk5MDU@._V1_UY209_CR28,0,140,209_AL_.jpg","Derek Griffiths narrates and sings about animals, birds and insects. "
